"Origin","Dest","2010","2011","2012","2013","2014","five_year_avg","state_rank","growth_rate","share","lq"
267,30,14030045,16883884,13317026,13853652,17238583,15064638,36,4.2,0.47,0.58
290,30,13353142,16672489,25210670,17841700,18550916,18325783.4,20,6.8,1.8,2.19
262,30,45763200,72100944,84891827,81824614,92753148,75466746.6,23,15.18,0.96,1.17
245,30,76032153,84174579,35236128,45872904,43649012,56992955.2,36,-10.51,0.31,0.38
241,30,17153184,20697736,42042413,40743367,19587556,28044851.2,47,2.69,0.1,0.13
284,30,1165748,2456460,1375774,1132042,510051,1328015,66,-15.24,0.03,0.03
280,30,4325671,2827385,2914916,3073886,3554179,3339207.4,35,-3.85,0.4,0.49
289,30,80114330,117453446,107393568,123426748,117288354,109135289.2,28,7.92,0.76,0.92
246,30,12375921,15738674,24019707,13004695,8712501,14770299.6,42,-6.78,0.19,0.23
259,30,100244193,103651147,95800016,93976676,66758732,92086152.8,37,-7.81,0.28,0.34
256,30,210129738,413829422,709333015,1032426907,1271336472,727411110.8,13,43.34,2.07,2.51
266,30,82683113,69552413,63899260,40583550,41465012,59636669.6,23,-12.89,0.64,0.78
248,30,1340063999,1744814358,1752711982,1656986019,1247577918,1548430855.2,15,-1.42,2.29,2.78
261,30,69381446,88917286,65647828,67933882,63555742,71087236.8,40,-1.74,0.4,0.49
277,30,117002873,67122565,110457174,76981690,121435177,98599895.8,20,0.75,0.63,0.77
260,30,154062584,188308355,135437113,265371761,381513686,224938699.8,14,19.88,1.26,1.53
274,30,41005232,58767956,90076942,98761666,78513355,73425030.2,19,13.87,1.76,2.14
258,30,94844346,128289561,94008398,101585367,96242840,102994102.4,29,0.29,0.93,1.13
255,30,68957122,80796895,80486093,74899579,76270945,76282126.8,27,2.04,0.38,0.46
281,30,166292198,182255307,164047024,170589571,196261115,175889043,24,3.37,0.83,1
275,30,25639460,20103787,23205935,27948172,21251052,23629681.2,51,-3.68,0.12,0.15
273,30,135851747,162343243,165133111,158871750,147836570,154007284.2,33,1.71,0.47,0.57
247,30,652265,6288413,1117243,7190442,7717286,4593129.8,13,63.91,0.83,1.01
243,30,359820434,444749365,429759546,378053843,333790929,389234823.4,45,-1.49,0.21,0.26
272,30,14156284,16126843,5177447,4740299,1593180,8358810.6,62,-35.4,0.14,0.17
257,30,4450634,6825960,5200459,5085446,2682577,4849015.2,49,-9.63,0.22,0.26
278,30,4186632,3484385,2082665,1741361,2063099,2711628.4,57,-13.2,0.11,0.13
